"genusspecies","sprecords","num_eras","num_grids","distinct_site.x.interval","Genus","Subfamily","LarvalGuild","RangeSize","BodySize","rothole","introduced","RecentTrend","HistoricTrend","RecentEstimate","HistoricEstimate"
"Lapposyrphus (Eupeodes,Metasyrphus) lapponicus",2392,4,273,466,"Lapposyrphus","Syrphinae","Predator",96,NA,"Other",NA,"WeakSupport","WeakSupport","-0.209 [-0.705, 0.199]","-0.07 [-0.674, 0.424]"
"Lejops cooleyi",83,4,12,15,"Lejops","Eristalinae","Saprophagous",89,NA,"Other",NA,"WeakSupport","WeakSupport","-0.035 [-0.863, 0.761]","-0.01 [-0.785, 0.648]"
"Lejops polygrammus",149,4,40,62,"Lejops","Eristalinae","Saprophagous",233,NA,"Other",NA,"WeakSupport","WeakSupport","-0.065 [-0.572, 0.405]","-0.013 [-0.497, 0.415]"
"Lejota aerea",66,4,17,20,"Lejota","Eristalinae","Saprophagous",195,NA,"Other",NA,"WeakSupport","WeakSupport","-0.385 [-0.849, 0.088]","-0.247 [-0.801, 0.324]"
"Lejota cyanea",67,4,22,32,"Lejota","Eristalinae","Saprophagous",836,7.6,"Other","no","Decline","Decline","-0.702 [-0.954, -0.391]","-0.532 [-0.918, -0.042]"
"Leucozona americana",146,4,54,71,"Leucozona","Syrphinae","Predator",1411,NA,"Other",NA,"WeakSupport","WeakSupport","-0.288 [-0.649, 0.104]","-0.058 [-0.533, 0.469]"
"Leucozona velutina",68,4,12,18,"Leucozona","Syrphinae","Predator",119,NA,"Other",NA,"WeakSupport","WeakSupport","-0.217 [-0.94, 0.517]","-0.135 [-0.918, 0.581]"
"Mallota (Imatisma) bautias",337,4,95,159,"Mallota","Eristalinae","Saprophagous",753,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","0.083 [-0.12, 0.344]","0.16 [-0.045, 0.43]"
"Mallota (Imatisma) posticata (bardus,separata)",322,4,87,154,"Mallota","Eristalinae","Saprophagous",732,15.25,"Rothole Specialist","no","WeakSupport","Increase","0.151 [-0.071, 0.456]","0.456 [0.035, 0.964]"
"Megasyrphus (Eriozona) laxus",429,4,95,150,"Megasyrphus","Syrphinae","Predator",1726,NA,"Other",NA,"WeakSupport","WeakSupport","-0.115 [-0.395, 0.154]","-0.007 [-0.319, 0.317]"
"Melangyna arctica",415,4,62,77,"Melangyna","Syrphinae","Predator",1622,7.35,"Other","no","Decline","WeakSupport","-0.559 [-0.823, -0.254]","-0.412 [-0.775, 0.007]"
"Melangyna fisherii",57,4,36,39,"Melangyna","Syrphinae","Predator",1098,NA,"Other",NA,"WeakSupport","WeakSupport","0.086 [-0.307, 0.567]","0.25 [-0.195, 0.834]"
"Melangyna labiatarum",185,4,46,52,"Melangyna","Syrphinae","Predator",1380,NA,"Other",NA,"WeakSupport","WeakSupport","-0.137 [-0.637, 0.37]","-0.023 [-0.578, 0.544]"
"Melangyna lasiophthalma",473,4,107,152,"Melangyna","Syrphinae","Predator",1483,8.5,"Other","no","Decline","Decline","-0.499 [-0.707, -0.265]","-0.427 [-0.666, -0.164]"
"Melangyna subfasciata",103,4,9,14,"Melangyna","Syrphinae","Predator",179,NA,"Other",NA,"WeakSupport","WeakSupport","-0.274 [-0.942, 0.293]","-0.084 [-0.889, 0.692]"
"Melangyna umbellatarum",427,4,99,138,"Melangyna","Syrphinae","Predator",1502,9.6,"Other","no","Decline","Decline","-0.732 [-0.871, -0.578]","-0.662 [-0.839, -0.461]"
"Melanostoma mellinum (angustatum,fallax,melanderi,pallitarsis)",8949,4,451,958,"Melanostoma","Syrphinae","Predator",2191,7.4,"Other","no","WeakSupport","Increase","-0.002 [-0.085, 0.076]","0.162 [0.013, 0.319]"
"Meligramma (Melangyna) triangulifera",262,4,66,94,"Meligramma","Syrphinae","Predator",1198,8.5,"Other","no","Decline","WeakSupport","-0.449 [-0.714, -0.131]","-0.308 [-0.642, 0.09]"
"Meliscaeva cinctella",1585,4,175,295,"Meliscaeva","Syrphinae","Predator",1710,9.4,"Other","no","WeakSupport","Increase","0.168 [-0.045, 0.41]","1.107 [0.428, 1.802]"
"Merodon equestris",543,4,68,126,"Merodon","Eristalinae","Phytophagous",1143,14.75,"Other","yes","WeakSupport","Increase","0.786 [-0.013, 1.688]","1.58 [0.327, 2.95]"
"Meromacrus acutus",86,4,37,52,"Meromacrus","Eristalinae","Saprophagous",250,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","0.467 [-0.242, 1.405]","0.412 [-0.143, 1.098]"
"Microdon abditus",80,4,27,40,"Microdon","Microdontinae","BroodParasite",248,NA,"Other",NA,"WeakSupport","WeakSupport","-0.18 [-0.644, 0.237]","-0.082 [-0.576, 0.367]"
"Microdon cothurnatus",149,4,46,60,"Microdon","Microdontinae","BroodParasite",782,NA,"Other",NA,"WeakSupport","WeakSupport","-0.221 [-0.604, 0.146]","-0.011 [-0.506, 0.491]"
"Microdon globosus (hutchingsi)",158,4,63,77,"Microdon","Microdontinae","BroodParasite",956,NA,"Other",NA,"WeakSupport","WeakSupport","-0.186 [-0.551, 0.211]","-0.095 [-0.493, 0.311]"
"Microdon manitobensis",115,4,47,62,"Microdon","Microdontinae","BroodParasite",659,NA,"Other",NA,"WeakSupport","WeakSupport","0.233 [-0.259, 0.914]","0.223 [-0.177, 0.692]"
"Microdon piperi",77,4,17,26,"Microdon","Microdontinae","BroodParasite",246,NA,"Other",NA,"WeakSupport","WeakSupport","-0.263 [-0.972, 0.729]","-0.356 [-0.957, 0.415]"
"Microdon ruficrus (basicornis)",69,4,28,39,"Microdon","Microdontinae","BroodParasite",515,NA,"Other",NA,"WeakSupport","WeakSupport","0.065 [-0.487, 0.723]","0.235 [-0.399, 0.927]"
"Microdon tristis",171,4,54,90,"Microdon","Microdontinae","BroodParasite",834,NA,"Other",NA,"WeakSupport","WeakSupport","0.277 [-0.245, 0.931]","0.325 [-0.166, 0.862]"
"Milesia virginiensis",152,4,55,89,"Milesia","Eristalinae","Saprophagous",349,20.05,"Rothole Specialist","no","WeakSupport","Increase","0.575 [-0.083, 1.344]","0.766 [0.059, 1.588]"
"Myolepta pretiosa",68,4,11,15,"Myolepta","Eristalinae","Saprophagous",192,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","-0.411 [-0.978, 0.363]","-0.466 [-0.947, 0.193]"
"Myolepta strigilata",57,4,22,26,"Myolepta","Eristalinae","Saprophagous",243,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","-0.194 [-0.728, 0.291]","-0.123 [-0.675, 0.359]"
"Myolepta varipes",51,4,23,28,"Myolepta","Eristalinae","Saprophagous",299,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","0.058 [-0.537, 0.757]","0.188 [-0.458, 0.857]"
"Nausigaster unimaculata",57,4,13,24,"Nausigaster","Eristalinae","Saprophagous",72,NA,"Other",NA,"WeakSupport","WeakSupport","-0.195 [-0.755, 0.35]","-0.014 [-0.673, 0.713]"
"Neoascia geniculata (conica)",57,4,22,24,"Neoascia","Eristalinae","Saprophagous",506,NA,"Other",NA,"WeakSupport","WeakSupport","-0.205 [-0.877, 0.503]","-0.176 [-0.834, 0.478]"
"Neoascia globosa (distincta)",157,4,31,52,"Neoascia","Eristalinae","Saprophagous",614,4.95,"Other","no","Decline","Decline","-0.549 [-0.855, -0.22]","-0.441 [-0.794, -0.022]"
"Neoascia metallica",306,4,94,127,"Neoascia","Eristalinae","Saprophagous",1286,NA,"Other",NA,"WeakSupport","WeakSupport","-0.152 [-0.448, 0.103]","0.023 [-0.326, 0.39]"
"Neoascia sandsi",111,4,30,50,"Neoascia","Eristalinae","Saprophagous",305,NA,"Other",NA,"Decline","WeakSupport","-0.412 [-0.739, -0.024]","-0.279 [-0.697, 0.173]"
"Neoascia tenur",382,4,67,85,"Neoascia","Eristalinae","Saprophagous",1455,5,"Other","no","Decline","WeakSupport","-0.446 [-0.746, -0.154]","-0.241 [-0.653, 0.214]"
"Neocnemodon (Heringia) coxalis",124,4,45,53,"Neocnemodon","Pipizinae","Predator",870,NA,"Other",NA,"WeakSupport","WeakSupport","-0.108 [-0.511, 0.245]","0.029 [-0.417, 0.475]"
"Neocnemodon calcarata",57,4,21,29,"Neocnemodon","Pipizinae","Predator",526,NA,"Other",NA,"WeakSupport","WeakSupport","0.089 [-0.559, 0.898]","0.084 [-0.494, 0.653]"
"Neocnemodon elongata",51,4,22,27,"Neocnemodon","Pipizinae","Predator",584,6.8,"Other","no","Decline","WeakSupport","-0.548 [-0.917, -0.054]","-0.461 [-0.883, 0.09]"
"Neocnemodon rita",69,4,23,24,"Neocnemodon","Pipizinae","Predator",1262,NA,"Other",NA,"WeakSupport","WeakSupport","-0.158 [-0.685, 0.358]","0.151 [-0.584, 0.952]"
"Ocyptamus fuscipennis",292,4,75,143,"Ocyptamus","Syrphinae","Predator",456,9.05,"Other","no","WeakSupport","Increase","0.122 [-0.12, 0.407]","0.459 [0.026, 0.965]"
"Orthonevra nitida",173,4,68,89,"Orthonevra","Eristalinae","Saprophagous",498,NA,"Other",NA,"WeakSupport","WeakSupport","0.168 [-0.235, 0.655]","0.422 [-0.088, 1.005]"
"Orthonevra pulchella",392,4,66,102,"Orthonevra","Eristalinae","Saprophagous",867,5.95,"Other","no","WeakSupport","Increase","0.07 [-0.3, 0.475]","0.922 [0.088, 1.907]"
"Orthonevra weemsi",85,4,15,15,"Orthonevra","Eristalinae","Saprophagous",155,NA,"Other",NA,"WeakSupport","WeakSupport","0.06 [-0.548, 0.73]","0.286 [-0.407, 1.141]"
"Palpada vinetorum",120,4,55,75,"Palpada","Eristalinae","Saprophagous",513,NA,"Other",NA,"WeakSupport","WeakSupport","0.046 [-0.397, 0.542]","0.524 [-0.183, 1.372]"
"Paragus angustifrons",159,4,39,59,"Paragus","Syrphinae","Predator",796,5.45,"Other","no","Decline","Decline","-0.616 [-0.88, -0.308]","-0.596 [-0.855, -0.283]"
"Paragus haemorrhous",1872,4,139,244,"Paragus","Syrphinae","Predator",1464,5.1,"Other","no","WeakSupport","Increase","0.104 [-0.169, 0.409]","1.233 [0.416, 2.167]"
"Parasyrphus genualis",175,4,62,81,"Parasyrphus","Syrphinae","Predator",1294,NA,"Other",NA,"WeakSupport","WeakSupport","-0.123 [-0.44, 0.14]","0.08 [-0.311, 0.483]"
"Parasyrphus groenlandica (bulbosus,interruptus)",176,4,22,25,"Parasyrphus","Syrphinae","Predator",464,NA,"Other",NA,"WeakSupport","WeakSupport","-0.151 [-0.685, 0.293]","-0.057 [-0.647, 0.407]"
"Parasyrphus macularis",159,4,25,28,"Parasyrphus","Syrphinae","Predator",236,NA,"Other",NA,"WeakSupport","WeakSupport","0.108 [-0.568, 0.844]","0.171 [-0.43, 0.853]"
"Parasyrphus nigritarsis",57,4,30,31,"Parasyrphus","Syrphinae","Predator",1142,NA,"Other",NA,"WeakSupport","WeakSupport","-0.126 [-0.639, 0.309]","0.009 [-0.547, 0.519]"
"Parasyrphus relictus",533,4,69,99,"Parasyrphus","Syrphinae","Predator",1502,8.4,"Other","no","Decline","Decline","-0.648 [-0.84, -0.424]","-0.485 [-0.793, -0.143]"
"Parasyrphus semiinterruptus",58,4,29,34,"Parasyrphus","Syrphinae","Predator",545,NA,"Other",NA,"WeakSupport","WeakSupport","0.058 [-0.386, 0.54]","0.364 [-0.232, 1.144]"
"Parasyrphus tarsatus",2251,4,125,185,"Parasyrphus","Syrphinae","Predator",1761,8.95,"Other","no","Decline","Decline","-0.632 [-0.792, -0.461]","-0.381 [-0.685, -0.057]"
"Parasyrphus vockerothi",256,4,57,76,"Parasyrphus","Syrphinae","Predator",1176,7.25,"Other","no","Decline","Decline","-0.662 [-0.875, -0.433]","-0.629 [-0.856, -0.377]"
"Parhelophilus (Helophilus) obsoletus",217,4,44,58,"Parhelophilus","Eristalinae","Saprophagous",730,NA,"Other",NA,"WeakSupport","WeakSupport","-0.101 [-0.479, 0.241]","0.284 [-0.318, 0.969]"
"Parhelophilus integer",62,4,20,24,"Parhelophilus","Eristalinae","Saprophagous",209,NA,"Other",NA,"WeakSupport","WeakSupport","-0.141 [-0.744, 0.356]","-0.007 [-0.645, 0.592]"
"Parhelophilus laetus",298,4,69,127,"Parhelophilus","Eristalinae","Saprophagous",892,NA,"Other",NA,"WeakSupport","WeakSupport","0.06 [-0.317, 0.513]","0.087 [-0.251, 0.456]"
"Parhelophilus porcus",99,4,41,50,"Parhelophilus","Eristalinae","Saprophagous",754,NA,"Other",NA,"WeakSupport","WeakSupport","0.022 [-0.414, 0.476]","0.307 [-0.279, 0.999]"
"Parhelophilus rex",202,4,60,84,"Parhelophilus","Eristalinae","Saprophagous",830,9.7,"Other","no","WeakSupport","Increase","0.556 [-0.082, 1.444]","0.927 [0.094, 1.928]"
"Pelecinobaccha (Ocyptamus) costata",120,4,38,54,"Pelecinobaccha","Syrphinae","Predator",169,NA,"Other",NA,"WeakSupport","WeakSupport","0.286 [-0.185, 0.972]","0.378 [-0.092, 0.97]"
"Pelecocera willistoni",54,4,12,16,"Pelecocera","Eristalinae","Unknown",52,NA,"Other",NA,"WeakSupport","WeakSupport","0.01 [-0.403, 0.388]","0.231 [-0.286, 0.875]"
"Pipiza crassipes (oregona)",104,4,33,43,"Pipiza","Pipizinae","Predator",544,NA,"Other",NA,"WeakSupport","WeakSupport","-0.395 [-0.896, 0.116]","-0.355 [-0.874, 0.178]"
"Pipiza femoralis",202,4,41,71,"Pipiza","Pipizinae","Predator",582,8,"Other","no","Decline","Decline","-0.448 [-0.78, -0.054]","-0.415 [-0.77, -0.026]"
"Pipiza macrofemoralis",58,4,29,35,"Pipiza","Pipizinae","Predator",848,NA,"Other",NA,"WeakSupport","WeakSupport","-0.271 [-0.785, 0.327]","-0.147 [-0.729, 0.525]"
"Pipiza nigripilosa",106,4,25,34,"Pipiza","Pipizinae","Predator",161,NA,"Other",NA,"WeakSupport","WeakSupport","-0.328 [-0.769, 0.141]","-0.287 [-0.741, 0.179]"
"Pipiza puella (nigrotibiata)",67,4,32,41,"Pipiza","Pipizinae","Predator",186,9.25,"Other","no","Decline","Decline","-0.669 [-0.922, -0.359]","-0.661 [-0.917, -0.362]"
"Pipiza quadrimaculata",86,4,32,34,"Pipiza","Pipizinae","Predator",861,NA,"Other",NA,"WeakSupport","WeakSupport","0.063 [-0.445, 0.642]","0.239 [-0.335, 0.905]"
"Platycheirus aeratus (pauper)",110,4,38,40,"Platycheirus","Syrphinae","Predator",1216,NA,"Other",NA,"WeakSupport","WeakSupport","-0.172 [-0.706, 0.261]","0.021 [-0.6, 0.629]"
"Platycheirus albimanus",233,4,69,89,"Platycheirus","Syrphinae","Predator",1700,7.9,"Other","no","Decline","WeakSupport","-0.446 [-0.711, -0.136]","-0.292 [-0.636, 0.101]"
"Platycheirus amplus",90,4,29,35,"Platycheirus","Syrphinae","Predator",1288,NA,"Other",NA,"WeakSupport","WeakSupport","-0.166 [-0.654, 0.36]","0.113 [-0.57, 0.855]"
"Platycheirus angustatus",254,4,74,106,"Platycheirus","Syrphinae","Predator",1333,6.8,"Other","no","Decline","Decline","-0.667 [-0.85, -0.468]","-0.614 [-0.824, -0.383]"
"Platycheirus chilosia",474,4,61,75,"Platycheirus","Syrphinae","Predator",1071,6.2,"Other","no","Decline","WeakSupport","-0.709 [-0.915, -0.471]","-0.455 [-0.857, 0.017]"
"Platycheirus clypeatus",363,4,64,84,"Platycheirus","Syrphinae","Predator",1411,7.4,"Other","no","Decline","WeakSupport","-0.515 [-0.763, -0.246]","-0.187 [-0.634, 0.336]"
"Platycheirus coerulescens",186,4,55,76,"Platycheirus","Syrphinae","Predator",1319,7.4,"Other","no","Decline","Decline","-0.506 [-0.823, -0.139]","-0.486 [-0.807, -0.117]"
"Platycheirus confusus",558,4,81,116,"Platycheirus","Syrphinae","Predator",1609,7.1,"Other","no","Decline","WeakSupport","-0.348 [-0.622, -0.035]","-0.203 [-0.533, 0.168]"
"Platycheirus flabella",83,4,21,26,"Platycheirus","Syrphinae","Predator",1189,NA,"Other",NA,"WeakSupport","WeakSupport","0.022 [-0.714, 0.886]","0.157 [-0.638, 1.051]"
"Platycheirus hyperboreus (erraticus)",768,4,183,293,"Platycheirus","Syrphinae","Predator",1785,7,"Other","no","Decline","WeakSupport","-0.287 [-0.475, -0.097]","-0.194 [-0.407, 0.038]"
"Platycheirus immarginatus (felix)",505,4,144,202,"Platycheirus","Syrphinae","Predator",1599,8.05,"Other","no","Decline","Decline","-0.505 [-0.689, -0.329]","-0.444 [-0.641, -0.234]"
"Platycheirus inversus",93,4,37,45,"Platycheirus","Syrphinae","Predator",245,NA,"Other",NA,"WeakSupport","WeakSupport","0.017 [-0.279, 0.327]","0.235 [-0.193, 0.742]"
"Platycheirus kelloggi",85,4,10,15,"Platycheirus","Syrphinae","Predator",507,NA,"Other",NA,"WeakSupport","WeakSupport","-0.219 [-0.925, 0.6]","-0.003 [-0.862, 1.014]"
"Platycheirus luteipennis",81,4,33,36,"Platycheirus","Syrphinae","Predator",1022,9.4,"Other","no","Decline","Decline","-0.755 [-0.983, -0.436]","-0.735 [-0.977, -0.398]"
"Platycheirus modestus",279,4,65,84,"Platycheirus","Syrphinae","Predator",1171,6.75,"Other","no","Decline","Decline","-0.658 [-0.841, -0.451]","-0.561 [-0.805, -0.295]"
"Platycheirus naso (holarcticus)",535,4,115,156,"Platycheirus","Syrphinae","Predator",1756,8.6,"Other","no","Decline","WeakSupport","-0.327 [-0.549, -0.081]","-0.093 [-0.441, 0.289]"
"Platycheirus nearcticus",320,4,73,113,"Platycheirus","Syrphinae","Predator",1377,NA,"Other",NA,"WeakSupport","WeakSupport","-0.055 [-0.336, 0.202]","0.344 [-0.145, 0.873]"
"Platycheirus nielseni",93,4,16,21,"Platycheirus","Syrphinae","Predator",1091,NA,"Other",NA,"WeakSupport","WeakSupport","-0.132 [-0.688, 0.33]","0.093 [-0.599, 0.791]"
"Platycheirus nigrofemoratus",50,4,18,20,"Platycheirus","Syrphinae","Predator",671,NA,"Other",NA,"WeakSupport","WeakSupport","0.218 [-0.448, 1.1]","0.441 [-0.321, 1.475]"
"Platycheirus nodosus",139,4,46,50,"Platycheirus","Syrphinae","Predator",943,7,"Other","no","Decline","WeakSupport","-0.633 [-0.879, -0.332]","-0.428 [-0.837, 0.023]"
"Platycheirus obscurus",1147,4,121,279,"Platycheirus","Syrphinae","Predator",1588,8.1,"Other","no","WeakSupport","Increase","0.186 [-0.177, 0.568]","0.613 [0.064, 1.191]"
"Platycheirus orarius",66,4,22,29,"Platycheirus","Syrphinae","Predator",243,NA,"Other",NA,"WeakSupport","WeakSupport","-0.433 [-0.843, 0.045]","-0.343 [-0.784, 0.195]"
"Platycheirus peltatoides",200,4,48,78,"Platycheirus","Syrphinae","Predator",551,NA,"Other",NA,"WeakSupport","WeakSupport","0.012 [-0.447, 0.522]","0.034 [-0.413, 0.402]"
"Platycheirus pictipes (concinnus,rufimaculatus)",170,4,56,71,"Platycheirus","Syrphinae","Predator",1427,9.1,"Other","no","Decline","WeakSupport","-0.57 [-0.814, -0.295]","-0.379 [-0.74, 0.034]"
"Platycheirus podagratus",238,4,42,50,"Platycheirus","Syrphinae","Predator",1518,NA,"Other",NA,"WeakSupport","WeakSupport","-0.268 [-0.695, 0.191]","0.024 [-0.572, 0.747]"
"Platycheirus quadratus",644,4,90,177,"Platycheirus","Syrphinae","Predator",1181,NA,"Other",NA,"WeakSupport","WeakSupport","-0.237 [-0.523, 0.075]","-0.188 [-0.466, 0.112]"
"Platycheirus scambus",673,4,148,226,"Platycheirus","Syrphinae","Predator",1734,NA,"Other",NA,"WeakSupport","WeakSupport","-0.101 [-0.309, 0.083]","0.026 [-0.225, 0.286]"
"Platycheirus scutatus",81,4,38,52,"Platycheirus","Syrphinae","Predator",1311,7.75,"Other","no","Decline","WeakSupport","-0.526 [-0.829, -0.178]","-0.29 [-0.739, 0.24]"
"Platycheirus stegnus",374,4,74,149,"Platycheirus","Syrphinae","Predator",891,7.95,"Other","no","Decline","WeakSupport","-0.401 [-0.651, -0.12]","-0.05 [-0.487, 0.451]"
"Platycheirus striatus",77,4,27,31,"Platycheirus","Syrphinae","Predator",1087,NA,"Other","no","WeakSupport","WeakSupport","-0.528 [-0.933, 0.017]","-0.414 [-0.911, 0.202]"
"Platycheirus thylax",71,4,30,37,"Platycheirus","Syrphinae","Predator",1114,NA,"Other",NA,"WeakSupport","WeakSupport","-0.042 [-0.542, 0.414]","0.179 [-0.392, 0.808]"
"Platycheirus trichopus",363,4,54,111,"Platycheirus","Syrphinae","Predator",1192,NA,"Other",NA,"WeakSupport","WeakSupport","-0.289 [-0.664, 0.134]","0.063 [-0.513, 0.754]"
"Platycheirus varipes",103,4,40,44,"Platycheirus","Syrphinae","Predator",1268,NA,"Other",NA,"WeakSupport","WeakSupport","-0.027 [-0.626, 0.696]","-0.041 [-0.577, 0.527]"
"Polydontomyia (Lejops) curvipes",275,4,68,110,"Polydontomyia","Eristalinae","Saprophagous",1372,14.75,"Other","no","Increase","WeakSupport","0.945 [0.006, 2.07]","0.57 [-0.134, 1.355]"
"Psilota flavidipennis",79,4,10,13,"Psilota","Eristalinae","Saprophagous",139,NA,"Other",NA,"WeakSupport","WeakSupport","-0.453 [-0.948, 0.166]","-0.422 [-0.944, 0.194]"
"Pterallastes thoracicus",52,4,24,38,"Pterallastes","Eristalinae","Unknown",315,NA,"Other",NA,"WeakSupport","WeakSupport","-0.145 [-0.737, 0.589]","0.018 [-0.671, 0.832]"
"Pyritis kincaidii (montigena)",117,4,11,27,"Pyritis","Eristalinae","Saprophagous",68,NA,"Other",NA,"WeakSupport","WeakSupport","-0.024 [-0.735, 0.68]","0.092 [-0.625, 0.791]"
"Pyrophaena (Platycheirus) granditarsis",543,4,151,218,"Pyrophaena","Syrphinae","Predator",1516,9.1,"Other","no","Decline","Decline","-0.431 [-0.622, -0.223]","-0.371 [-0.588, -0.138]"
"Pyrophaena (Platycheirus) rosarum",644,4,94,146,"Pyrophaena","Syrphinae","Predator",1110,8.2,"Other","no","WeakSupport","Increase","0.118 [-0.125, 0.406]","0.679 [0.131, 1.328]"
"Rhingia nasica",805,4,118,247,"Rhingia","Eristalinae","Saprophagous",815,NA,"Other",NA,"WeakSupport","WeakSupport","0.094 [-0.129, 0.353]","0.154 [-0.05, 0.403]"
"Scaeva affinis (pyrastri)",951,4,147,319,"Scaeva","Syrphinae","Predator",1555,13.4,"Other","no","WeakSupport","Decline","-0.108 [-0.394, 0.191]","-0.261 [-0.486, -0.019]"
"Sericomyia bifasciata",159,4,33,46,"Sericomyia","Eristalinae","Saprophagous",290,NA,"Other",NA,"WeakSupport","WeakSupport","-0.239 [-0.612, 0.186]","0.127 [-0.482, 0.834]"
"Sericomyia chalcopyga",1004,4,76,182,"Sericomyia","Eristalinae","Saprophagous",432,NA,"Other",NA,"WeakSupport","WeakSupport","0.241 [-0.141, 0.678]","0.242 [-0.111, 0.604]"
"Sericomyia chrysotoxoides",896,4,118,267,"Sericomyia","Eristalinae","Saprophagous",726,12.45,"Other","no","WeakSupport","Increase","0.211 [-0.025, 0.517]","0.447 [0.105, 0.825]"
"Sericomyia flagrans",331,4,76,125,"Sericomyia","Eristalinae","Saprophagous",517,NA,"Other",NA,"WeakSupport","WeakSupport","0.029 [-0.326, 0.386]","0.189 [-0.197, 0.613]"
"Sericomyia lata",342,4,81,139,"Sericomyia","Eristalinae","Saprophagous",448,13.4,"Other","no","WeakSupport","Increase","0.357 [-0.029, 0.8]","1.759 [0.602, 3.064]"
"Sericomyia militaris",1049,4,205,397,"Sericomyia","Eristalinae","Saprophagous",1434,14.4,"Other","no","Increase","Increase","0.611 [0.274, 0.983]","0.838 [0.405, 1.296]"
"Sericomyia nigra",83,4,20,24,"Sericomyia","Eristalinae","Saprophagous",816,NA,"Other",NA,"WeakSupport","WeakSupport","-0.028 [-0.513, 0.414]","0.169 [-0.408, 0.771]"
"Sericomyia sexfasciata",89,4,30,34,"Sericomyia","Eristalinae","Saprophagous",606,NA,"Other",NA,"WeakSupport","WeakSupport","0 [-0.431, 0.432]","0.124 [-0.356, 0.622]"
"Sericomyia transversa",173,4,42,51,"Sericomyia","Eristalinae","Saprophagous",351,12.4,"Other","no","WeakSupport","Increase","0.109 [-0.235, 0.499]","0.982 [0.006, 2.269]"
"Somula decora",229,4,65,105,"Somula","Eristalinae","Saprophagous",415,NA,"Other",NA,"WeakSupport","WeakSupport","0.115 [-0.091, 0.407]","0.269 [-0.009, 0.651]"
"Sphaerophoria abbreviata",382,4,105,160,"Sphaerophoria","Syrphinae","Predator",1375,8.25,"Other","no","Decline","WeakSupport","-0.409 [-0.614, -0.197]","-0.181 [-0.511, 0.172]"
"Sphaerophoria asymmetrica",316,4,87,128,"Sphaerophoria","Syrphinae","Predator",1481,7.9,"Other","no","Decline","Decline","-0.476 [-0.702, -0.225]","-0.361 [-0.641, -0.053]"
"Sphaerophoria contigua (cylindricus)",1054,4,161,291,"Sphaerophoria","Syrphinae","Predator",1670,7.65,"Other","no","Decline","WeakSupport","-0.289 [-0.526, -0.045]","-0.241 [-0.483, 0.022]"
"Sphaerophoria novaeangliae",182,4,54,77,"Sphaerophoria","Syrphinae","Predator",1030,NA,"Other",NA,"WeakSupport","WeakSupport","-0.221 [-0.556, 0.094]","0.031 [-0.453, 0.535]"
"Sphaerophoria philanthus (dubia,nigritarsi,robusta)",2565,4,289,541,"Sphaerophoria","Syrphinae","Predator",1888,8.6,"Other","no","Decline","Decline","-0.292 [-0.436, -0.141]","-0.23 [-0.392, -0.057]"
"Sphaerophoria pyrrhina (guttulata)",113,4,49,55,"Sphaerophoria","Syrphinae","Predator",1179,6.25,"Other","no","Decline","Decline","-0.721 [-0.946, -0.432]","-0.733 [-0.943, -0.472]"
"Sphaerophoria sulphuripes",396,4,54,112,"Sphaerophoria","Syrphinae","Predator",349,NA,"Other",NA,"WeakSupport","WeakSupport","-0.191 [-0.565, 0.12]","0.004 [-0.485, 0.44]"
"Sphecomyia (Chrysotoxum) vittata",299,4,81,131,"Sphecomyia","Eristalinae","Saprophagous",671,NA,"Other",NA,"WeakSupport","WeakSupport","-0.033 [-0.293, 0.209]","0.281 [-0.131, 0.778]"
"Sphecomyia brevicornis",121,4,29,48,"Sphecomyia","Eristalinae","Saprophagous",129,13.5,"Other","no","Decline","WeakSupport","-0.512 [-0.862, -0.075]","-0.202 [-0.787, 0.488]"
"Sphecomyia dyari",71,4,16,38,"Sphecomyia","Eristalinae","Saprophagous",34,12.8,"Other","no","Decline","WeakSupport","-0.48 [-0.889, -0.023]","-0.232 [-0.828, 0.459]"
"Sphecomyia pattonii",139,4,30,50,"Sphecomyia","Eristalinae","Saprophagous",94,NA,"Other",NA,"WeakSupport","WeakSupport","-0.355 [-0.783, 0.083]","-0.138 [-0.724, 0.437]"
"Sphegina brachygaster",95,4,30,40,"Sphegina","Eristalinae","Saprophagous",628,NA,"Other",NA,"WeakSupport","WeakSupport","0.092 [-0.513, 0.801]","0.422 [-0.371, 1.348]"
"Sphegina campanulata",79,4,29,35,"Sphegina","Eristalinae","Saprophagous",246,NA,"Other",NA,"WeakSupport","WeakSupport","-0.357 [-0.718, 0.056]","-0.193 [-0.671, 0.305]"
"Sphegina flavimana",90,4,32,46,"Sphegina","Eristalinae","Saprophagous",385,5.65,"Other","no","Decline","Decline","-0.555 [-0.834, -0.222]","-0.452 [-0.798, -0.063]"
"Sphegina flavomaculata (notata)",61,4,17,22,"Sphegina","Eristalinae","Saprophagous",466,NA,"Other",NA,"WeakSupport","WeakSupport","-0.295 [-0.793, 0.167]","-0.104 [-0.722, 0.516]"
